<IPython.core.display.HTML object>

X shape: (6701, 64, 64, 3)

Y shape: (6701,)

Using cuda device
4 Layer Model | loss_sqrt: 0.291819 | [   22/  200]
4 Layer Model | loss_sqrt: 0.291479 | [   23/  200]
4 Layer Model | loss_sqrt: 0.291218 | [   24/  200]
4 Layer Model | loss_sqrt: 0.291005 | [   25/  200]
4 Layer Model | loss_sqrt: 0.290828 | [   26/  200]
4 Layer Model | loss_sqrt: 0.290682 | [   27/  200]
4 Layer Model | loss_sqrt: 0.290546 | [   28/  200]
4 Layer Model | loss_sqrt: 0.290423 | [   29/  200]
4 Layer Model | loss_sqrt: 0.290305 | [   30/  200]
4 Layer Model | loss_sqrt: 0.290193 | [   31/  200]
4 Layer Model | loss_sqrt: 0.290082 | [   32/  200]
4 Layer Model | loss_sqrt: 0.289978 | [   33/  200]
4 Layer Model | loss_sqrt: 0.289875 | [   34/  200]
4 Layer Model | loss_sqrt: 0.289778 | [   35/  200]
4 Layer Model | loss_sqrt: 0.289685 | [   36/  200]
4 Layer Model | loss_sqrt: 0.289598 | [   37/  200]
4 Layer Model | loss_sqrt: 0.289514 | [   38/  200]
4 Layer Model | loss_sqrt: 0.289435 | [   39/  200]
4 Layer Model | loss_sqrt: 0.289357 | [   40/  200]
4 Layer Model | loss_sqrt: 0.289287 | [   41/  200]
4 Layer Model | loss_sqrt: 0.289220 | [   42/  200]
4 Layer Model | loss_sqrt: 0.289160 | [   43/  200]
